item,trcode,trname,dtype,var,unit
종목코드,opt10001,주식기본정보요청,str,,
종목명,opt10001,주식기본정보요청,str,,
결산월,opt10001,주식기본정보요청,int_abs,v0000,
액면가,opt10001,주식기본정보요청,int_abs,v0001,
자본금,opt10001,주식기본정보요청,int_abs,v0002,
상장주식,opt10001,주식기본정보요청,int_abs,v0003,
신용비율,opt10001,주식기본정보요청,pct,v0004,
연중최고,opt10001,주식기본정보요청,int_abs,v0005,
연중최저,opt10001,주식기본정보요청,int_abs,v0006,
시가총액,opt10001,주식기본정보요청,int_abs,v0007,
시가총액비중,opt10001,주식기본정보요청,pct,v0008,
외인소진률,opt10001,주식기본정보요청,pct,v0009,
대용가,opt10001,주식기본정보요청,int_abs,v0010,
PER,opt10001,주식기본정보요청,float,v0011,
EPS,opt10001,주식기본정보요청,float,v0012,
ROE,opt10001,주식기본정보요청,float,v0013,
PBR,opt10001,주식기본정보요청,float,v0014,
EV,opt10001,주식기본정보요청,float,v0015,
BPS,opt10001,주식기본정보요청,int,v0016,
매출액,opt10001,주식기본정보요청,int_abs,v0017,
영업이익,opt10001,주식기본정보요청,int,v0018,
당기순이익,opt10001,주식기본정보요청,int,v0019,
250최고,opt10001,주식기본정보요청,int_abs,v0020,
250최저,opt10001,주식기본정보요청,int_abs,v0021,
시가,opt10001,주식기본정보요청,int_abs,v0022,
고가,opt10001,주식기본정보요청,int_abs,v0023,
저가,opt10001,주식기본정보요청,int_abs,v0024,
상한가,opt10001,주식기본정보요청,int_abs,v0025,
하한가,opt10001,주식기본정보요청,int_abs,v0026,
예상체결가,opt10001,주식기본정보요청,int_abs,v0027,
예상체결수량,opt10001,주식기본정보요청,int_abs,v0028,
250최고가일,opt10001,주식기본정보요청,date,,
250최고가대비율,opt10001,주식기본정보요청,pct,v0029,
250최저가일,opt10001,주식기본정보요청,date,,
250최저가대비율,opt10001,주식기본정보요청,pct,v0030,
현재가,opt10001,주식기본정보요청,int_abs,v0031,
대비기호,opt10001,주식기본정보요청,str,,
전일대비,opt10001,주식기본정보요청,int,v0032,
등락율,opt10001,주식기본정보요청,pct,v0033,
거래량,opt10001,주식기본정보요청,int_abs,v0034,
거래대비,opt10001,주식기본정보요청,int,v0035,6.0
액면가단위,opt10001,주식기본정보요청,str,,
유통주식,opt10001,주식기본정보요청,int_abs,v0036,
유통비율,opt10001,주식기본정보요청,pct,v0037,
