trcode,trname,inputs,outputs,caution,realActive,testActive
opt10001,주식기본정보요청,"[{'id': '종목코드', 'value': '전문 조회할 종목코드'}]","['종목코드', '종목명', '결산월', '액면가', '자본금', '상장주식', '신용비율', '연중최고', '연중최저', '시가총액', '시가총액비중', '외인소진률', '대용가', 'PER', 'EPS', 'ROE', 'PBR', 'EV', 'BPS', '매출액', '영업이익', '당기순이익', '250최고', '250최저', '시가', '고가', '저가', '상한가', '하한가', '예상체결가', '예상체결수량', '250최고가일', '250최고가대비율', '250최저가일', '250최저가대비율', '현재가', '대비기호', '전일대비', '등락율', '거래량', '거래대비', '액면가단위', '유통주식', '유통비율']",,True,True
opt10002,주식거래원요청,"[{'id': '종목코드', 'value': '전문 조회할 종목코드'}]","['종목코드', '종목명', '현재가', '기준가', '전일대비', '등락율', '등락부호', '매도거래원명1', '매도거래원명2', '매도거래원명3', '매도거래원명4', '매도거래원명5', '매도거래원1', '매도거래원2', '매도거래원3', '매도거래원4', '매도거래원5', '매도거래량1', '매도거래량2', '매도거래량3', '매도거래량4', '매도거래량5', '매수거래원명1', '매수거래원명2', '매수거래원명3', '매수거래원명4', '매수거래원명5', '매수거래원1', '매수거래원2', '매수거래원3', '매수거래원4', '매수거래원5', '매수거래량1', '매수거래량2', '매수거래량3', '매수거래량4', '매수거래량5']",,True,True
opt10003,체결정보요청,"[{'id': '종목코드', 'value': '전문 조회할 종목코드'}]","['시간', '현재가', '전일대비', '대비율', '우선매도호가단위', '우선매수호가단위', '체결거래량', 'sign', '누적거래량', '누적거래대금', '체결강도']",,True,True
opt10004,주식호가요청,"[{'id': '종목코드', 'value': '전문 조회할 종목코드'}]","['매도1차선잔량대비', '매도2차선호가', '매도2차선잔량', '매도2차선잔량대비', '매도3차선호가', '매도3차선잔량', '매도3차선잔량대비', '매도4차선호가', '매도4차선잔량', '매도4차선잔량대비', '매도5차선호가', '매도5차선잔량', '매도5차선잔량대비', '매도6차선호가', '매도6차선잔량', '매도6차선잔량대비', '매도7차선호가', '매도7차선잔량', '매도7차선잔량대비', '매도8차선호가', '매도8차선잔량', '매도8차선잔량대비', '매도9차선호가', '매도9차선잔량', '매도9차선잔량대비', '매도10차선호가', '매도10차선잔량', '매도10차선잔량대비', '매수1차선잔량대비', '매수2차선호가', '매수2차선잔량', '매수2차선잔량대비', '매수3차선호가', '매수3차선잔량', '매수3차선잔량대비', '매수4차선호가', '매수4차선잔량', '매수4차선잔량대비', '매수5차선호가', '매수5차선잔량', '매수5차선잔량대비', '매수6차선호가', '매수6차선잔량', '매수6차선잔량대비', '매수7차선호가', '매수7차선잔량', '매수7차선잔량대비', '매수8차선호가', '매수8차선잔량', '매수8차선잔량대비', '매수9차선호가', '매수9차선잔량', '매수9차선잔량대비', '매수10차선호가', '매수10차선잔량', '매수10차선잔량대비', '호가잔량기준시간', '시간외매도잔량', '시간외매도잔량직전대비', '시간외매수잔량', '시간외매수잔량직전대비', '총매도잔량', '총매도잔량직전대비', '총매수잔량', '총매수잔량직전대비', '매도최우선잔량', '매도최우선호가', '매수최우선잔량', '매수최우선호가']",,True,True
opt10005,주식일주월시분요청,"[{'id': '종목코드', 'value': '전문 조회할 종목코드'}]","['날짜', '시가', '고가', '저가', '종가', '대비', '등락률', '거래량', '거래대금', '체결강도', '외인보유', '외인비중', '외인순매수', '기관순매수', '외국계', '신용잔고율', '프로그램']",,True,True
OPT10006,주식시분요청,"[{'id': '종목코드', 'value': '전문 조회할 종목코드'}]","['날짜', '시가', '고가', '저가', '종가', '대비', '등락률', '거래량', '거래대금']",,True,True
opt10007,시세표성정보요청,"[{'id': '종목코드', 'value': '전문 조회할 종목코드'}]","['종목명', '종목코드', '날짜', '시간', '전일종가', '전일거래량', '상한가', '하한가', '전일거래대금', '상장주식수', '현재가', '부호', '등락률', '전일비', '시가', '고가', '저가', '체결량', '거래량', '거래대금', '예상체결가', '에상체결량', '예상매도우선호가', '예상매수우선호가', '거래시작일', '행사가격', '최고가', '최저가', '최고가일', '최저가일', '매도1호가', '매도1호가잔량', '매도1호가직전대비', '매도2호가', '매도2호가잔량', '매도2호가직전대비', '매도3호가', '매도3호가잔량', '매도3호가직전대비', '매도4호가', '매도4호가잔량', '매도4호가직전대비', '매도5호가', '매도5호가잔량', '매도5호가직전대비', '매도6호가', '매도6호가잔량', '매도6호가직전대비', '매도7호가', '매도7호가잔량', '매도7호가직전대비', '매도8호가', '매도8호가잔량', '매도8호가직전대비', '매도9호가', '매도9호가잔량', '매도9호가직전대비', '매도10호가', '매도10호가잔량', '매도10호가직전대비', '매수1호가', '매수1호가잔량', '매수1호가직전대비', '매수2호가', '매수2호가잔량', '매수2호가직전대비', '매수3호가', '매수3호가잔량', '매수3호가직전대비', '매수4호가', '매수4호가잔량', '매수4호가직전대비', '매수5호가', '매수5호가잔량', '매수5호가직전대비', '매수6호가', '매수6호가잔량', '매수6호가직전대비', '매수7호가', '매수7호가잔량', '매수7호가직전대비', '매수8호가', '매수8호가잔량', '매수8호가직전대비', '매수9호가', '매수9호가잔량', '매수9호가직전대비', '매수10호가', '매수10호가잔량', '매수10호가직전대비', '매도1호가잔량', '매도2호가잔량', '매도3호가잔량', '매도4호가잔량', '매도5호가잔량', '매수1호가잔량', '매수2호가잔량', '매수3호가잔량', '매수4호가잔량', '매수5호가잔량', 'LP매도1호가잔량', 'LP매도2호가잔량', 'LP매도3호가잔량', 'LP매도4호가잔량', 'LP매도5호가잔량', 'LP매수1호가잔량', 'LP매수2호가잔량', 'LP매수3호가잔량', 'LP매수4호가잔량', 'LP매수5호가잔량', '총매도잔량', '총매도건수', '총매수잔량', '총매수건수']",,True,True
opt10008,주식외국인요청,"[{'id': '종목코드', 'value': '000:전체, 001:코스피, 101:코스닥'}]","['일자', '종가', '전일대비', '거래량', '변동수량', '보유주식수', '비중', '취득가능주식수', '외국인한도', '외국인한도증감', '한도소진률']",,True,True
OPT10009,주식기관요청,"[{'id': '종목코드', 'value': '전문 조회할 종목코드'}]","['날짜', '종가', '대비', '기관기간누적', '기관일변순매매', '외국인일변순매매', '외국인지분율']",,True,True
OPT10010,업종프로그램요청,"[{'id': '종목코드', 'value': '전문 조회할 종목코드'}]","['차익위탁매수수량', '차익위탁매수금액', '차익위탁매도수량', '차익위탁매도금액', '차익위탁순매수수량', '차익위탁순매수금액', '비차익위탁매수수량', '비차익위탁매수금액', '비차익위탁매도수량', '비차익위탁매도금액', '비차익위탁순매수수량', '비차익위탁순매수금액', '전체차익위탁매수수량', '전체차익위탁매수금액', '전체차익위탁매도수량', '전체차익위탁매도금액', '전체차익위탁순매수수량', '전체차익위탁순매수금액']",,True,True
